,id,track_name,artist_name,album_name,release_date,duration_min,popularity,explicit
0,2u9S9JJ6hTZS3Vf22HOZKg,NOKIA,Drake,$ome $exy $ongs 4 U,2025-02-14,4.01705,85,True
1,7yNf9YjeO5JXUE3JEBgnYc,Babydoll,Dominic Fike,"Don't Forget About Me, Demos",2018-10-16,1.6326666666666667,80,False
2,3sK8wGT43QFpWrvNQsrQya,DtMF,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,3.95195,90,True
3,4gxEY3Mh5FZZDAJAKPNrCS,CRAZY,LE SSERAFIM,CRAZY (Party Remixes 1),2024-09-02,2.742566666666667,78,False
4,5kDgJffgJ0lYHTSiaXFWNw,BABY I'M BACK,The Kid LAROI,THE FIRST TIME (DELUXE VERSION),2024-08-09,2.85405,75,True
5,2FDTHlrBguDzQkp7PVj16Q,Sprinter,Dave,Sprinter,2023-06-01,3.8188833333333334,81,True
6,6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,Not Like Us,2024-05-04,4.569866666666667,87,True
7,5WEF0icHWmAZBBMglBd599,WELTiTA,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,3.1251166666666665,82,False
8,5UcVIU1tsbN7ZsOSpR8AFD,Y Que Fue?,Don Miguelo,Y Que Fue?,2020-07-29,2.7293166666666666,77,False
9,417YLEvDX9igfVVam9Q9r2,Last of the Mohicans,NAV,Demons Protected By Angels,2022-09-09,2.8455833333333334,38,True
10,7EW7Yivb93qKAtp5qEm5of,Dark Thoughts,Lil Tecca,Dark Thoughts,2025-03-14,2.283183333333333,77,True
11,2uvE4L5ZsYKpv8hbK4TIOt,MUTT,Leon Thomas,MUTT,2024-09-27,3.21555,81,True
12,0IsIY8pfu1yaGkPUD7pkDx,Guess featuring billie eilish,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,2.3888333333333334,80,False
13,3Fra5SMXXDTSRXVoDf8Xwd,GIRLS,The Kid LAROI,THE FIRST TIME (DELUXE VERSION),2024-08-09,2.54965,67,True
14,7vjfnsnDXZGK4PSq54ISjc,1-800-hot-n-fun,LE SSERAFIM,CRAZY,2024-08-30,2.8905166666666666,72,False
15,3bWEONUAlVrGAB4NqQiT2R,KEHLANI,Jordan Adetunji,A Jaguar's Dream,2025-01-22,2.0393333333333334,70,False
16,2zxEc1GCSCxbHIXTfhraRC,Clash (feat. Stormzy),Dave,We're All Alone In This Together,2021-07-22,4.19555,67,True
17,3LtpKP5abr2qqjunvjlX5i,Doja,Central Cee,Doja,2022-07-21,1.6232,77,True
18,2c7z5oRcPBbqRaBY2mLWcf,NEW DROP,Don Toliver,HARDSTONE PSYCHO,2024-06-14,3.6222166666666666,81,True
19,2N8gR2yftrHbZR53U5kYnX,Would You (go to bed with me?),Campbell,Would You (go to bed with me?),2023-07-21,2.0087,65,False
20,7jxnHknJtjE1MM8IfUidMF,Incredible Sauce (feat. Dave),Giggs,Zero Tolerance,2023-08-18,4.0647166666666665,64,True
21,05WPbN0RZeYj62c4VGpldv,Onna Come Up (feat. G Herbo) [Remix],Lil Eazzyy,Rookie Of The Year,2021-04-30,2.9288166666666666,53,True
22,3DarAbFujv6eYNliUTyqtz,Kiss Me More (feat. SZA),Doja Cat,Planet Her,2021-06-25,3.4777666666666667,85,True
23,1oTo3ijRbaDAtrjJrGAPSw,I Miss You,blink-182,blink-182,2003-01-01,3.787333333333333,77,False
24,279qpKlNEFXT7XF0MMUT92,PerkySex,Lil Uzi Vert,Eternal Atake 2,2024-11-01,2.8445666666666667,51,True
25,7dbyaRWWFvB9UG2vcwTd3J,Champagne Shots,Sainté,Local Mvp,2021-01-06,2.4,64,False
26,1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,For All The Dogs,2023-10-06,5.31985,78,True
